client_num,time_stamp,event,server_id,avg_thread_count
4930,1509037364825,done,1509036452413,2.3499999999999934
4938,1509037364898,start,,
4931,1509037364981,done,1509037037912,2.3666666666666676
4939,1509037365035,start,,
4932,1509037365109,done,1509036206104,2.1666666666666674
4940,1509037365182,start,,
4933,1509037365283,done,1509036452413,2.3499999999999934
4941,1509037365317,start,,
4934,1509037365373,done,1509037037912,2.3666666666666676
4942,1509037365465,start,,
4935,1509037365565,done,1509036206104,2.1666666666666674
4943,1509037365600,start,,
4936,1509037365635,done,1509036452413,2.3499999999999934
4937,1509037365786,done,1509037037912,2.3666666666666676
4938,1509037365922,done,1509036206104,2.1666666666666674
4939,1509037366024,done,1509036452413,2.3499999999999934
4940,1509037366152,done,1509037037912,2.3666666666666676
4941,1509037366301,done,1509036206104,2.1666666666666674
4947,1509037366327,start,,
4945,1509037366328,start,,
4944,1509037366332,start,,
4946,1509037366333,start,,
4948,1509037366335,start,,
4942,1509037367077,done,1509036452413,2.31666666666666
4943,1509037367078,done,1509037037912,2.3666666666666676
4953,1509037367433,start,,
4951,1509037367438,start,,
4950,1509037367438,start,,
4949,1509037367439,start,,
4954,1509037367441,start,,
4955,1509037367442,start,,
4956,1509037367443,start,,
4952,1509037367448,start,,
4957,1509037367567,start,,
4958,1509037367706,start,,
4959,1509037367848,start,,
4960,1509037367986,start,,
4961,1509037368125,start,,
4962,1509037368272,start,,
4963,1509037368407,start,,
4964,1509037368549,start,,
4965,1509037368695,start,,
4966,1509037368823,start,,
4967,1509037368973,start,,
4944,1509037369227,done,1509037037912,2.4666666666666677
4948,1509037369501,done,1509036452413,2.433333333333327
4946,1509037369566,done,1509036206104,2.283333333333334
4945,1509037369649,done,1509036452413,2.433333333333327
4947,1509037369798,done,1509036206104,2.283333333333334
4954,1509037369892,done,1509037037912,2.533333333333334
4953,1509037369893,done,1509037037912,2.533333333333334
4949,1509037370010,done,1509037037912,2.533333333333334
4951,1509037370132,done,1509036206104,2.283333333333334
4950,1509037370141,done,1509036452413,2.433333333333327
4958,1509037370181,done,1509037037912,2.533333333333334
4971,1509037370192,start,,
4970,1509037370193,start,,
4972,1509037370193,start,,
4973,1509037370193,start,,
4974,1509037370198,start,,
4968,1509037370198,start,,
4969,1509037370199,start,,
4975,1509037370205,start,,
4976,1509037370230,start,,
4957,1509037370253,done,1509036452413,2.4833333333333267
4956,1509037370257,done,1509036452413,2.4833333333333267
4952,1509037370323,done,1509036206104,2.283333333333334
4955,1509037370336,done,1509036206104,2.283333333333334
4977,1509037370369,start,,
4961,1509037370398,done,1509037037912,2.533333333333334
4978,1509037370517,start,,
4959,1509037370633,done,1509036206104,2.300000000000001
4979,1509037370658,start,,
4964,1509037370777,done,1509037037912,2.5833333333333344
4980,1509037370789,start,,
4981,1509037370937,start,,
4960,1509037370944,done,1509036452413,2.4833333333333267
4982,1509037371072,start,,
4983,1509037371214,start,,
4962,1509037371232,done,1509036206104,2.300000000000001
4963,1509037371267,done,1509036452413,2.56666666666666
4965,1509037371329,done,1509036206104,2.300000000000001
4984,1509037371350,start,,
4966,1509037371417,done,1509036452413,2.56666666666666
4985,1509037371490,start,,
4986,1509037371631,start,,
4987,1509037371770,start,,
4988,1509037371907,start,,
4989,1509037372049,start,,
4990,1509037372184,start,,
4991,1509037372329,start,,
4992,1509037372469,start,,
4967,1509037372470,done,1509037037912,2.650000000000001
4974,1509037372598,done,1509037037912,2.650000000000001
4993,1509037372605,start,,
4994,1509037372739,start,,
4995,1509037372885,start,,
4972,1509037372952,done,1509037037912,2.7333333333333343
4996,1509037373022,start,,
4970,1509037373115,done,1509036452413,2.6499999999999932
4968,1509037373121,done,1509036452413,2.6499999999999932
4975,1509037373134,done,1509036452413,2.6499999999999932
4976,1509037373143,done,1509037037912,2.7333333333333343
4969,1509037373160,done,1509036206104,2.450000000000001
4997,1509037373162,start,,
4998,1509037373299,start,,
4971,1509037373375,done,1509036206104,2.5833333333333344
4973,1509037373406,done,1509036206104,2.5833333333333344
4979,1509037373426,done,1509037037912,2.7333333333333343
4999,1509037373440,start,,
5000,1509037373580,start,,
4977,1509037373597,done,1509036206104,2.5833333333333344
4978,1509037373604,done,1509036452413,2.71666666666666
5001,1509037373718,start,,
5002,1509037373855,start,,
4980,1509037373900,done,1509036206104,2.5833333333333344
4981,1509037373988,done,1509036452413,2.71666666666666
5003,1509037373993,start,,
4982,1509037374095,done,1509037037912,2.8166666666666678
5004,1509037374142,start,,
5005,1509037374278,start,,
4983,1509037374359,done,1509036206104,2.5833333333333344
4984,1509037374399,done,1509036452413,2.799999999999993
4985,1509037374410,done,1509037037912,2.8166666666666678
5006,1509037374417,start,,
5007,1509037374555,start,,
5008,1509037374703,start,,
4988,1509037374755,done,1509037037912,2.883333333333334
5009,1509037374838,start,,
5010,1509037374978,start,,
4987,1509037374981,done,1509036452413,2.799999999999993
4986,1509037375088,done,1509036206104,2.6833333333333345
5011,1509037375118,start,,
4990,1509037375177,done,1509036452413,2.86666666666666
4991,1509037375236,done,1509037037912,2.883333333333334
5012,1509037375252,start,,
5013,1509037375401,start,,
5014,1509037375531,start,,
4989,1509037375594,done,1509036206104,2.8166666666666678
4994,1509037375610,done,1509037037912,2.883333333333334
5015,1509037375677,start,,
4993,1509037375705,done,1509036452413,2.86666666666666
5016,1509037375815,start,,
4997,1509037375849,done,1509037037912,2.950000000000001
5017,1509037375957,start,,
4992,1509037375973,done,1509036206104,2.8166666666666678
4996,1509037376088,done,1509036452413,2.86666666666666
5018,1509037376088,start,,
5019,1509037376235,start,,
5000,1509037376309,done,1509037037912,2.950000000000001
5020,1509037376374,start,,
4995,1509037376421,done,1509036206104,2.9333333333333345
4999,1509037376427,done,1509036452413,2.933333333333327
5021,1509037376511,start,,
5003,1509037376613,done,1509037037912,2.950000000000001
5022,1509037376653,start,,
5002,1509037376680,done,1509036452413,2.933333333333327
5023,1509037376790,start,,
4998,1509037376858,done,1509036206104,2.9333333333333345
5024,1509037376931,start,,
5025,1509037377067,start,,
5007,1509037377184,done,1509037037912,3.000000000000001
5026,1509037377202,start,,
5006,1509037377253,done,1509036452413,3.01666666666666
5027,1509037377341,start,,
5001,1509037377401,done,1509036206104,3.0666666666666678
5028,1509037377482,start,,
5010,1509037377582,done,1509037037912,3.000000000000001
5009,1509037377623,done,1509036452413,3.01666666666666
5029,1509037377629,start,,
5030,1509037377769,start,,
5031,1509037377907,start,,
5013,1509037377938,done,1509037037912,3.0833333333333344
5004,1509037377967,done,1509036206104,3.0666666666666678
5005,1509037378016,done,1509036206104,3.0666666666666678
5032,1509037378038,start,,
5008,1509037378057,done,1509036206104,3.0666666666666678
5012,1509037378066,done,1509036452413,3.01666666666666
5033,1509037378184,start,,
5034,1509037378318,start,,
5016,1509037378324,done,1509037037912,3.0833333333333344
5015,1509037378421,done,1509036452413,3.083333333333327
5035,1509037378456,start,,
5036,1509037378602,start,,
5037,1509037378741,start,,
5019,1509037378760,done,1509037037912,3.1166666666666676
5018,1509037378816,done,1509036452413,3.083333333333327
5038,1509037378877,start,,
5011,1509037378896,done,1509036206104,3.150000000000001
5039,1509037379014,start,,
5014,1509037379108,done,1509036206104,3.150000000000001
5040,1509037379162,start,,
5022,1509037379170,done,1509037037912,3.1166666666666676
5021,1509037379196,done,1509036452413,3.0999999999999934
5041,1509037379292,start,,
5042,1509037379432,start,,
5025,1509037379506,done,1509037037912,3.1166666666666676
5043,1509037379575,start,,
5017,1509037379703,done,1509036206104,3.1833333333333345
5044,1509037379720,start,,
5024,1509037379742,done,1509036452413,3.0999999999999934
5045,1509037379851,start,,
5028,1509037379964,done,1509037037912,3.1166666666666676
5046,1509037379995,start,,
5027,1509037380045,done,1509036452413,3.0999999999999934
5020,1509037380111,done,1509036206104,3.1833333333333345
5047,1509037380133,start,,
5048,1509037380270,start,,
5031,1509037380276,done,1509037037912,3.1166666666666676
5049,1509037380415,start,,
5030,1509037380483,done,1509036452413,3.1333333333333266
5050,1509037380548,start,,
5023,1509037380591,done,1509036206104,3.2666666666666675
5051,1509037380689,start,,
5052,1509037380828,start,,
